interaction_id,customer_id,date,interaction_type,issue_category,notes
I304599,C08386,2024-06-19,Call,Billing Question,Interaction logged
I304600,C05802,2024-08-10,Call,Billing Question,Interaction logged
I304601,C08035,2025-02-20,Email,Service Issue,Interaction logged
I304602,C02944,2024-08-13,Email,PO Approval,Interaction logged
I304603,C09556,2024-10-18,Meeting,PO Approval,Interaction logged
I304604,C08130,2024-01-12,Email,PO Approval,Interaction logged
I304605,C01099,2024-06-22,Meeting,PO Approval,Interaction logged
I304606,C04390,2024-04-22,Meeting,Billing Question,Interaction logged
I304607,C00696,2025-02-20,Call,Late Payment,Interaction logged
I304608,C05369,2024-01-15,Meeting,Billing Question,Interaction logged
I304609,C06199,2024-06-09,Email,Service Issue,Interaction logged
I304610,C07067,2024-03-13,Call,Billing Question,Interaction logged
I304611,C02140,2024-02-10,Call,PO Approval,Interaction logged
I304612,C06195,2024-04-27,Email,Service Issue,Interaction logged
I304613,C04895,2024-06-14,Email,Late Payment,Interaction logged
I304614,C05583,2024-08-06,Email,Late Payment,Interaction logged
I304615,C03796,2025-01-06,Meeting,Service Issue,Interaction logged
I304616,C08863,2024-02-26,Call,PO Approval,Interaction logged
I304617,C06893,2024-03-12,Email,PO Approval,Interaction logged
I304618,C06900,2025-03-16,Meeting,PO Approval,Interaction logged
I304619,C01361,2025-01-14,Meeting,Service Issue,Interaction logged
I304620,C08617,2024-12-24,Call,Service Issue,Interaction logged
I304621,C04002,2024-06-26,Call,Billing Question,Interaction logged
I304622,C02421,2024-12-23,Email,Late Payment,Interaction logged
I304623,C02120,2025-02-03,Email,PO Approval,Interaction logged
I304624,C09680,2024-07-09,Meeting,Service Issue,Interaction logged
I304625,C07217,2024-04-05,Email,PO Approval,Interaction logged
I304626,C00970,2025-01-01,Email,Late Payment,Interaction logged
I304627,C06481,2024-10-14,Call,Late Payment,Interaction logged
I304628,C02794,2025-03-03,Call,PO Approval,Interaction logged
I304629,C01643,2024-06-16,Email,Billing Question,Interaction logged
I304630,C05993,2024-01-06,Call,Service Issue,Interaction logged
I304631,C09586,2024-11-02,Call,Service Issue,Interaction logged
I304632,C07828,2024-03-31,Call,Billing Question,Interaction logged
I304633,C04353,2024-07-01,Call,Billing Question,Interaction logged
I304634,C01903,2024-11-11,Call,Late Payment,Interaction logged
I304635,C09597,2025-03-11,Email,Billing Question,Interaction logged
I304636,C04742,2024-02-23,Meeting,Late Payment,Interaction logged
I304637,C05349,2024-10-04,Email,Service Issue,Interaction logged
I304638,C03573,2024-10-02,Call,Service Issue,Interaction logged
I304639,C01815,2024-04-22,Call,Billing Question,Interaction logged
I304640,C05090,2025-03-09,Meeting,Late Payment,Interaction logged
I304641,C06938,2024-11-03,Email,Billing Question,Interaction logged
I304642,C00900,2024-01-29,Email,Service Issue,Interaction logged
I304643,C03002,2024-04-20,Email,Late Payment,Interaction logged
I304644,C08406,2024-11-03,Email,PO Approval,Interaction logged
I304645,C03425,2024-03-05,Email,Late Payment,Interaction logged
I304646,C07052,2024-01-23,Meeting,Late Payment,Interaction logged
I304647,C05788,2024-08-17,Meeting,Late Payment,Interaction logged
I304648,C03331,2024-09-16,Email,Service Issue,Interaction logged
I304649,C04985,2024-01-13,Meeting,Late Payment,Interaction logged
I304650,C01027,2024-06-08,Email,Late Payment,Interaction logged
I304651,C00680,2024-07-27,Call,PO Approval,Interaction logged
I304652,C05468,2024-10-16,Meeting,Service Issue,Interaction logged
I304653,C05435,2025-03-09,Call,PO Approval,Interaction logged
I304654,C05795,2024-08-22,Email,Billing Question,Interaction logged
I304655,C07523,2024-05-06,Call,Billing Question,Interaction logged
I304656,C02085,2025-01-19,Meeting,PO Approval,Interaction logged
I304657,C01839,2024-06-08,Call,Service Issue,Interaction logged
I304658,C01190,2024-02-01,Call,Billing Question,Interaction logged
I304659,C00414,2024-10-05,Email,Billing Question,Interaction logged
I304660,C06533,2024-08-18,Call,Late Payment,Interaction logged
I304661,C09583,2025-01-22,Call,Late Payment,Interaction logged
I304662,C02922,2024-12-14,Meeting,Billing Question,Interaction logged
I304663,C06369,2024-06-01,Email,Billing Question,Interaction logged
I304664,C02577,2024-08-03,Meeting,PO Approval,Interaction logged
I304665,C01296,2024-08-27,Meeting,Billing Question,Interaction logged
I304666,C02669,2024-10-26,Meeting,Service Issue,Interaction logged
I304667,C08683,2024-03-14,Email,Billing Question,Interaction logged
I304668,C03561,2025-02-12,Meeting,Billing Question,Interaction logged
I304669,C00070,2024-10-10,Email,Service Issue,Interaction logged
I304670,C04059,2024-07-29,Call,PO Approval,Interaction logged
I304671,C08180,2024-02-15,Meeting,Service Issue,Interaction logged
I304672,C04148,2024-08-05,Meeting,PO Approval,Interaction logged
I304673,C00879,2024-03-17,Call,Late Payment,Interaction logged
I304674,C07777,2024-09-07,Email,Late Payment,Interaction logged
I304675,C07396,2024-08-01,Meeting,PO Approval,Interaction logged
I304676,C02207,2024-07-25,Call,Late Payment,Interaction logged
I304677,C09501,2024-09-05,Meeting,Billing Question,Interaction logged
I304678,C06017,2024-12-18,Meeting,Service Issue,Interaction logged
I304679,C00175,2024-07-08,Call,Service Issue,Interaction logged
I304680,C05414,2024-04-15,Meeting,Late Payment,Interaction logged
I304681,C07212,2024-07-31,Email,Service Issue,Interaction logged
I304682,C00208,2025-02-04,Email,Billing Question,Interaction logged
I304683,C02349,2024-07-11,Meeting,Billing Question,Interaction logged
I304684,C05324,2024-08-05,Email,PO Approval,Interaction logged
I304685,C05595,2024-12-06,Meeting,Service Issue,Interaction logged
I304686,C03228,2024-11-30,Call,PO Approval,Interaction logged
I304687,C05347,2024-05-13,Email,Late Payment,Interaction logged
I304688,C04698,2024-02-29,Meeting,Billing Question,Interaction logged
I304689,C07774,2025-01-13,Meeting,Service Issue,Interaction logged
I304690,C02809,2024-11-18,Meeting,Billing Question,Interaction logged
I304691,C09827,2025-02-28,Call,Late Payment,Interaction logged
I304692,C01214,2024-09-15,Meeting,Billing Question,Interaction logged
I304693,C06320,2024-08-30,Meeting,Billing Question,Interaction logged
I304694,C03970,2024-09-07,Email,PO Approval,Interaction logged
I304695,C09890,2024-07-17,Meeting,PO Approval,Interaction logged
I304696,C05230,2025-01-18,Meeting,Billing Question,Interaction logged
I304697,C07530,2024-02-18,Call,Late Payment,Interaction logged
I304698,C01328,2025-03-16,Call,Late Payment,Interaction logged
I304699,C04480,2024-02-14,Email,Service Issue,Interaction logged
I304700,C09702,2024-08-19,Meeting,Late Payment,Interaction logged
I304701,C00438,2024-03-26,Call,PO Approval,Interaction logged
I304702,C05326,2024-04-06,Call,Billing Question,Interaction logged
I304703,C04155,2024-10-06,Meeting,Service Issue,Interaction logged
I304704,C06273,2024-05-06,Call,PO Approval,Interaction logged
I304705,C05360,2024-02-26,Call,Late Payment,Interaction logged
I304706,C04236,2024-01-07,Email,Late Payment,Interaction logged
I304707,C00843,2024-05-04,Email,Billing Question,Interaction logged
I304708,C04838,2024-01-05,Email,Service Issue,Interaction logged
I304709,C03730,2024-10-25,Call,Late Payment,Interaction logged
I304710,C00651,2024-02-23,Meeting,Service Issue,Interaction logged
I304711,C03549,2025-01-23,Meeting,Service Issue,Interaction logged
I304712,C03946,2025-03-19,Call,PO Approval,Interaction logged
I304713,C00627,2024-12-03,Email,PO Approval,Interaction logged
I304714,C06841,2024-02-15,Meeting,Billing Question,Interaction logged
I304715,C07059,2024-08-18,Call,Service Issue,Interaction logged
I304716,C00956,2024-03-26,Meeting,Late Payment,Interaction logged
I304717,C07521,2024-01-16,Meeting,PO Approval,Interaction logged
I304718,C04255,2024-06-30,Email,PO Approval,Interaction logged
I304719,C02864,2024-05-31,Email,Service Issue,Interaction logged
I304720,C05521,2024-09-20,Email,Late Payment,Interaction logged
I304721,C07093,2024-02-17,Email,Late Payment,Interaction logged
I304722,C01412,2024-08-24,Call,PO Approval,Interaction logged
I304723,C09983,2024-05-18,Call,Service Issue,Interaction logged
I304724,C03517,2024-01-20,Call,Billing Question,Interaction logged
I304725,C02537,2025-01-25,Call,Late Payment,Interaction logged
I304726,C07618,2024-02-24,Meeting,PO Approval,Interaction logged
I304727,C01294,2024-01-13,Meeting,Billing Question,Interaction logged
I304728,C01817,2025-03-19,Meeting,Service Issue,Interaction logged
I304729,C00018,2024-06-26,Email,Service Issue,Interaction logged
I304730,C08891,2025-01-14,Call,Late Payment,Interaction logged
I304731,C09560,2024-07-01,Meeting,Billing Question,Interaction logged
I304732,C08958,2024-03-11,Meeting,PO Approval,Interaction logged
I304733,C06246,2025-01-21,Email,Billing Question,Interaction logged
I304734,C04614,2025-03-21,Email,Billing Question,Interaction logged
I304735,C09930,2024-09-10,Call,Service Issue,Interaction logged
I304736,C04907,2024-02-23,Call,PO Approval,Interaction logged
I304737,C03317,2024-07-27,Meeting,Late Payment,Interaction logged
I304738,C09476,2025-01-26,Meeting,Billing Question,Interaction logged
I304739,C06783,2024-02-09,Meeting,PO Approval,Interaction logged
I304740,C00288,2024-08-19,Meeting,PO Approval,Interaction logged
I304741,C03361,2024-05-21,Meeting,Billing Question,Interaction logged
I304742,C01882,2024-06-14,Call,Service Issue,Interaction logged
I304743,C05539,2024-05-06,Email,Billing Question,Interaction logged
I304744,C00977,2024-06-19,Email,PO Approval,Interaction logged
I304745,C08456,2025-03-01,Call,Late Payment,Interaction logged
I304746,C07422,2024-02-25,Meeting,Service Issue,Interaction logged
I304747,C06445,2025-01-31,Call,PO Approval,Interaction logged
I304748,C00707,2024-09-05,Meeting,Service Issue,Interaction logged
I304749,C04664,2025-03-23,Call,Late Payment,Interaction logged
I304750,C08901,2024-10-21,Call,Service Issue,Interaction logged
I304751,C09086,2024-11-18,Email,Service Issue,Interaction logged
I304752,C04233,2025-01-17,Email,Late Payment,Interaction logged
I304753,C07969,2024-06-21,Call,Service Issue,Interaction logged
I304754,C09135,2024-05-21,Email,Billing Question,Interaction logged
I304755,C04374,2024-08-08,Call,Service Issue,Interaction logged
I304756,C01294,2024-02-08,Call,PO Approval,Interaction logged
I304757,C03050,2025-03-22,Call,Billing Question,Interaction logged
I304758,C02663,2024-10-28,Meeting,Billing Question,Interaction logged
I304759,C02735,2024-04-22,Call,Billing Question,Interaction logged
I304760,C00392,2024-10-19,Meeting,PO Approval,Interaction logged
I304761,C08170,2024-09-29,Meeting,Late Payment,Interaction logged
I304762,C08779,2025-02-10,Meeting,Service Issue,Interaction logged
I304763,C02498,2024-09-02,Call,Billing Question,Interaction logged
I304764,C02522,2024-01-16,Meeting,Late Payment,Interaction logged
I304765,C05043,2024-01-14,Call,Billing Question,Interaction logged
I304766,C01061,2024-05-20,Call,Service Issue,Interaction logged
I304767,C09941,2024-05-19,Email,Service Issue,Interaction logged
I304768,C04971,2024-10-06,Call,Service Issue,Interaction logged
I304769,C01190,2024-07-14,Call,Late Payment,Interaction logged
I304770,C01016,2024-01-27,Meeting,PO Approval,Interaction logged
I304771,C05275,2025-03-01,Call,Late Payment,Interaction logged
I304772,C05769,2024-07-16,Call,Service Issue,Interaction logged
I304773,C06607,2024-05-10,Meeting,PO Approval,Interaction logged
I304774,C07045,2024-02-28,Meeting,PO Approval,Interaction logged
I304775,C02684,2024-05-14,Meeting,Late Payment,Interaction logged
I304776,C06512,2025-03-05,Email,Service Issue,Interaction logged
I304777,C05153,2024-04-13,Call,Billing Question,Interaction logged
I304778,C08657,2024-06-08,Meeting,Service Issue,Interaction logged
I304779,C02275,2024-09-21,Email,Service Issue,Interaction logged
I304780,C07125,2024-01-29,Email,PO Approval,Interaction logged
I304781,C06753,2024-01-14,Email,Late Payment,Interaction logged
I304782,C00193,2024-02-11,Meeting,Late Payment,Interaction logged
I304783,C04866,2024-08-13,Meeting,Service Issue,Interaction logged
I304784,C07412,2024-11-16,Meeting,PO Approval,Interaction logged
I304785,C01687,2024-04-16,Call,PO Approval,Interaction logged
I304786,C03795,2024-06-15,Email,Late Payment,Interaction logged
I304787,C00087,2024-04-07,Call,Service Issue,Interaction logged
I304788,C06426,2025-01-28,Email,Billing Question,Interaction logged
I304789,C01033,2024-05-12,Email,Late Payment,Interaction logged
I304790,C04512,2024-05-31,Email,PO Approval,Interaction logged
I304791,C04541,2024-12-27,Call,PO Approval,Interaction logged
I304792,C06519,2024-10-20,Email,Service Issue,Interaction logged
I304793,C09183,2024-08-18,Email,Late Payment,Interaction logged
I304794,C09875,2024-01-18,Meeting,Billing Question,Interaction logged
I304795,C05281,2024-01-31,Call,PO Approval,Interaction logged
I304796,C01462,2024-06-02,Meeting,PO Approval,Interaction logged
I304797,C02175,2024-09-17,Call,Billing Question,Interaction logged
I304798,C04090,2024-08-04,Email,PO Approval,Interaction logged
I304799,C08704,2024-01-13,Meeting,Billing Question,Interaction logged
I304800,C03201,2024-11-06,Call,Late Payment,Interaction logged
I304801,C08083,2024-09-15,Call,Billing Question,Interaction logged
I304802,C01988,2024-07-23,Email,Late Payment,Interaction logged
I304803,C09637,2024-09-06,Email,Service Issue,Interaction logged
I304804,C04147,2024-07-15,Meeting,Service Issue,Interaction logged
I304805,C05040,2024-11-04,Email,PO Approval,Interaction logged
I304806,C02306,2024-03-23,Email,Late Payment,Interaction logged
I304807,C07113,2024-10-12,Call,Billing Question,Interaction logged
I304808,C00502,2024-07-26,Email,Late Payment,Interaction logged
I304809,C05627,2024-12-24,Email,Billing Question,Interaction logged
I304810,C02754,2024-06-25,Call,Billing Question,Interaction logged
I304811,C04298,2024-07-25,Email,Late Payment,Interaction logged
I304812,C08076,2024-04-23,Meeting,PO Approval,Interaction logged
I304813,C01353,2024-03-30,Meeting,Service Issue,Interaction logged
I304814,C07825,2024-10-10,Meeting,PO Approval,Interaction logged
I304815,C05739,2024-12-13,Meeting,Late Payment,Interaction logged
I304816,C07709,2024-07-23,Meeting,Billing Question,Interaction logged
I304817,C02066,2024-06-06,Email,Service Issue,Interaction logged
I304818,C02995,2024-03-03,Call,Late Payment,Interaction logged
I304819,C05753,2024-10-10,Meeting,Late Payment,Interaction logged
I304820,C01887,2024-01-10,Meeting,PO Approval,Interaction logged
I304821,C09271,2024-01-23,Call,Billing Question,Interaction logged
I304822,C00335,2024-02-28,Meeting,Late Payment,Interaction logged
I304823,C08700,2025-03-18,Email,Billing Question,Interaction logged
I304824,C00848,2024-09-03,Meeting,Service Issue,Interaction logged
I304825,C08457,2025-01-14,Meeting,Late Payment,Interaction logged
I304826,C08027,2024-02-11,Meeting,Late Payment,Interaction logged
I304827,C06990,2024-08-13,Meeting,Billing Question,Interaction logged
I304828,C05212,2024-05-14,Email,Billing Question,Interaction logged
I304829,C04196,2024-05-07,Email,Billing Question,Interaction logged
I304830,C09138,2024-08-22,Call,Billing Question,Interaction logged
I304831,C01644,2024-08-29,Email,Late Payment,Interaction logged
I304832,C02018,2024-11-15,Call,Billing Question,Interaction logged
I304833,C05560,2024-10-08,Meeting,PO Approval,Interaction logged
I304834,C09594,2024-01-18,Call,Late Payment,Interaction logged
I304835,C06771,2024-05-30,Call,Late Payment,Interaction logged
I304836,C06608,2025-02-17,Email,Billing Question,Interaction logged
I304837,C03396,2024-09-28,Meeting,PO Approval,Interaction logged
I304838,C07681,2024-07-20,Call,Late Payment,Interaction logged
I304839,C04653,2024-03-17,Call,PO Approval,Interaction logged
I304840,C08081,2024-05-01,Meeting,PO Approval,Interaction logged
I304841,C03014,2025-02-01,Email,Billing Question,Interaction logged
I304842,C02144,2024-12-26,Call,Late Payment,Interaction logged
I304843,C03308,2024-08-29,Meeting,PO Approval,Interaction logged
I304844,C00983,2025-02-18,Call,Service Issue,Interaction logged
I304845,C08985,2024-02-13,Meeting,PO Approval,Interaction logged
I304846,C06419,2024-02-01,Meeting,Billing Question,Interaction logged
I304847,C01247,2024-04-30,Call,Late Payment,Interaction logged
I304848,C07686,2024-09-21,Email,PO Approval,Interaction logged
I304849,C02790,2024-11-13,Email,Service Issue,Interaction logged
I304850,C04964,2024-04-30,Meeting,Late Payment,Interaction logged
I304851,C08412,2024-06-18,Call,Late Payment,Interaction logged
I304852,C02389,2024-11-07,Meeting,Late Payment,Interaction logged
I304853,C02219,2025-03-17,Call,PO Approval,Interaction logged
I304854,C05291,2025-01-16,Email,Billing Question,Interaction logged
I304855,C05022,2024-05-18,Email,Late Payment,Interaction logged
I304856,C02751,2024-02-26,Meeting,PO Approval,Interaction logged
I304857,C07125,2024-08-18,Email,Service Issue,Interaction logged
I304858,C02915,2024-01-29,Email,PO Approval,Interaction logged
I304859,C00036,2024-08-13,Call,Billing Question,Interaction logged
I304860,C07239,2024-09-05,Call,Late Payment,Interaction logged
I304861,C09429,2024-10-01,Email,Service Issue,Interaction logged
I304862,C07013,2024-11-07,Meeting,Billing Question,Interaction logged
I304863,C02338,2024-10-20,Email,PO Approval,Interaction logged
I304864,C00511,2024-02-08,Meeting,Service Issue,Interaction logged
I304865,C04254,2024-11-23,Call,Service Issue,Interaction logged
I304866,C00671,2024-11-10,Email,Late Payment,Interaction logged
I304867,C07252,2024-06-24,Call,PO Approval,Interaction logged
I304868,C08894,2024-09-14,Call,Service Issue,Interaction logged
I304869,C06570,2025-02-06,Email,PO Approval,Interaction logged
I304870,C03448,2024-03-01,Email,PO Approval,Interaction logged
I304871,C06731,2025-02-19,Call,Billing Question,Interaction logged
I304872,C01246,2025-03-20,Meeting,Billing Question,Interaction logged
I304873,C01856,2025-03-22,Call,PO Approval,Interaction logged
I304874,C08202,2024-11-15,Email,Late Payment,Interaction logged
I304875,C04832,2024-06-18,Email,Late Payment,Interaction logged
I304876,C02783,2024-01-07,Meeting,PO Approval,Interaction logged
I304877,C08650,2024-12-08,Call,Billing Question,Interaction logged
I304878,C09669,2025-01-10,Call,Service Issue,Interaction logged
I304879,C04595,2025-01-09,Meeting,Service Issue,Interaction logged
I304880,C02805,2024-03-05,Call,Billing Question,Interaction logged
I304881,C07744,2024-08-31,Meeting,Service Issue,Interaction logged
I304882,C08932,2024-06-12,Email,Service Issue,Interaction logged
I304883,C04189,2024-07-24,Meeting,PO Approval,Interaction logged
I304884,C06107,2024-04-08,Email,Service Issue,Interaction logged
I304885,C04936,2024-04-04,Call,Late Payment,Interaction logged
I304886,C03062,2024-05-12,Call,Late Payment,Interaction logged
I304887,C04471,2025-02-03,Email,Late Payment,Interaction logged
I304888,C01123,2024-12-11,Call,PO Approval,Interaction logged
I304889,C04939,2024-07-01,Email,Billing Question,Interaction logged
I304890,C07600,2024-07-19,Meeting,PO Approval,Interaction logged
I304891,C02721,2024-03-01,Call,Late Payment,Interaction logged
I304892,C02900,2024-07-02,Email,Billing Question,Interaction logged
I304893,C03895,2024-08-08,Meeting,Service Issue,Interaction logged
I304894,C02491,2025-03-24,Call,PO Approval,Interaction logged
I304895,C00862,2024-01-25,Call,Billing Question,Interaction logged
I304896,C06294,2024-07-12,Email,Late Payment,Interaction logged
I304897,C01382,2025-03-16,Email,Late Payment,Interaction logged
I304898,C02943,2025-02-05,Call,Billing Question,Interaction logged
I304899,C04172,2025-01-27,Meeting,Billing Question,Interaction logged
I304900,C04618,2024-05-30,Meeting,Service Issue,Interaction logged
I304901,C04454,2024-03-19,Email,PO Approval,Interaction logged
I304902,C05127,2024-10-14,Meeting,Billing Question,Interaction logged
I304903,C07759,2024-05-16,Meeting,Service Issue,Interaction logged
I304904,C04678,2024-10-21,Meeting,Billing Question,Interaction logged
I304905,C03889,2025-03-20,Call,Billing Question,Interaction logged
I304906,C06698,2024-02-18,Meeting,PO Approval,Interaction logged
I304907,C05529,2024-01-13,Email,Billing Question,Interaction logged
I304908,C04817,2024-10-18,Call,PO Approval,Interaction logged
I304909,C07769,2025-03-05,Call,Billing Question,Interaction logged
I304910,C07258,2024-02-18,Meeting,PO Approval,Interaction logged
I304911,C04341,2024-05-14,Call,PO Approval,Interaction logged
I304912,C08920,2024-07-01,Call,Service Issue,Interaction logged
I304913,C03448,2024-03-01,Call,Billing Question,Interaction logged
I304914,C06514,2024-05-08,Email,PO Approval,Interaction logged
I304915,C00664,2024-07-29,Email,Late Payment,Interaction logged
I304916,C03573,2024-06-12,Email,Service Issue,Interaction logged
I304917,C01641,2024-10-21,Meeting,Late Payment,Interaction logged
I304918,C03826,2024-06-14,Meeting,Billing Question,Interaction logged
I304919,C07631,2024-06-06,Call,Service Issue,Interaction logged
I304920,C06001,2024-10-11,Meeting,Billing Question,Interaction logged
I304921,C01890,2024-06-08,Call,Late Payment,Interaction logged
I304922,C08591,2024-09-05,Email,Billing Question,Interaction logged
I304923,C08181,2025-03-05,Call,Service Issue,Interaction logged
I304924,C09571,2024-03-29,Email,Billing Question,Interaction logged
I304925,C00669,2024-04-05,Email,Service Issue,Interaction logged
I304926,C03410,2024-03-11,Call,Service Issue,Interaction logged
I304927,C00059,2025-02-20,Meeting,Billing Question,Interaction logged
I304928,C06222,2025-03-20,Meeting,PO Approval,Interaction logged
I304929,C00902,2024-10-28,Meeting,Billing Question,Interaction logged
I304930,C05067,2024-02-09,Meeting,Late Payment,Interaction logged
I304931,C02293,2024-11-01,Call,Late Payment,Interaction logged
I304932,C04409,2024-07-03,Meeting,Late Payment,Interaction logged
I304933,C06519,2024-07-06,Call,Late Payment,Interaction logged
I304934,C05299,2024-01-10,Call,Late Payment,Interaction logged
I304935,C09534,2025-03-18,Email,Service Issue,Interaction logged
I304936,C04278,2024-01-16,Call,PO Approval,Interaction logged
I304937,C01150,2024-07-24,Call,PO Approval,Interaction logged
I304938,C06995,2024-10-18,Call,Billing Question,Interaction logged
I304939,C08774,2024-08-15,Meeting,PO Approval,Interaction logged
I304940,C09037,2025-02-25,Meeting,PO Approval,Interaction logged
I304941,C09976,2024-11-27,Meeting,Service Issue,Interaction logged
I304942,C02878,2025-03-13,Email,Service Issue,Interaction logged
I304943,C09839,2024-03-28,Call,PO Approval,Interaction logged
I304944,C03041,2024-04-02,Email,PO Approval,Interaction logged
I304945,C02403,2024-10-14,Meeting,Late Payment,Interaction logged
I304946,C04090,2024-01-20,Meeting,PO Approval,Interaction logged
I304947,C01886,2024-07-29,Meeting,PO Approval,Interaction logged
I304948,C04899,2025-03-04,Email,Billing Question,Interaction logged
I304949,C06573,2024-06-22,Call,Billing Question,Interaction logged
I304950,C00804,2024-09-22,Email,PO Approval,Interaction logged
I304951,C08847,2024-10-28,Call,PO Approval,Interaction logged
I304952,C04391,2025-03-25,Email,PO Approval,Interaction logged
I304953,C08714,2024-03-10,Call,PO Approval,Interaction logged
I304954,C04153,2024-05-31,Call,PO Approval,Interaction logged
I304955,C03700,2024-03-24,Meeting,Billing Question,Interaction logged
I304956,C02221,2024-08-28,Meeting,Service Issue,Interaction logged
I304957,C02409,2024-11-29,Meeting,Billing Question,Interaction logged
I304958,C07671,2024-12-24,Call,Service Issue,Interaction logged
I304959,C06022,2025-02-14,Email,Service Issue,Interaction logged
I304960,C05987,2025-01-01,Meeting,PO Approval,Interaction logged
I304961,C00613,2024-06-21,Call,Late Payment,Interaction logged
I304962,C03104,2024-01-10,Meeting,Service Issue,Interaction logged
I304963,C08957,2024-06-09,Meeting,Billing Question,Interaction logged
I304964,C09881,2024-01-09,Meeting,Late Payment,Interaction logged
I304965,C00230,2024-09-21,Email,PO Approval,Interaction logged
I304966,C03812,2024-03-17,Email,Billing Question,Interaction logged
I304967,C09936,2025-01-24,Meeting,Service Issue,Interaction logged
I304968,C05062,2024-08-31,Call,PO Approval,Interaction logged
I304969,C04223,2024-11-01,Call,PO Approval,Interaction logged
I304970,C05827,2025-01-12,Meeting,Service Issue,Interaction logged
I304971,C09527,2025-01-02,Email,Service Issue,Interaction logged
I304972,C05773,2024-12-15,Email,Service Issue,Interaction logged
I304973,C04215,2024-02-29,Call,PO Approval,Interaction logged
I304974,C00843,2024-09-23,Email,PO Approval,Interaction logged
I304975,C05762,2024-07-19,Meeting,Service Issue,Interaction logged
I304976,C02572,2025-01-18,Email,Late Payment,Interaction logged
I304977,C04116,2024-03-24,Email,PO Approval,Interaction logged
I304978,C00282,2024-03-07,Meeting,Service Issue,Interaction logged
I304979,C03461,2024-06-02,Call,PO Approval,Interaction logged
I304980,C09012,2024-10-26,Call,PO Approval,Interaction logged
I304981,C09869,2024-05-12,Call,Service Issue,Interaction logged
I304982,C09679,2025-02-03,Email,Service Issue,Interaction logged
I304983,C02386,2024-04-18,Call,Service Issue,Interaction logged
I304984,C03166,2024-07-25,Meeting,Billing Question,Interaction logged
I304985,C00706,2024-08-20,Email,Billing Question,Interaction logged
I304986,C01216,2024-02-29,Meeting,Billing Question,Interaction logged
I304987,C09616,2024-08-04,Call,Billing Question,Interaction logged
I304988,C07894,2025-02-18,Meeting,Late Payment,Interaction logged
I304989,C06579,2024-02-22,Meeting,Billing Question,Interaction logged
I304990,C09008,2024-11-10,Meeting,Billing Question,Interaction logged
I304991,C07810,2025-02-25,Call,Late Payment,Interaction logged
I304992,C04219,2024-08-22,Email,PO Approval,Interaction logged
I304993,C09273,2025-01-21,Email,PO Approval,Interaction logged
I304994,C05614,2024-03-20,Email,Billing Question,Interaction logged
I304995,C02033,2025-03-01,Call,Service Issue,Interaction logged
I304996,C09983,2024-01-26,Email,Billing Question,Interaction logged
I304997,C05447,2024-10-05,Meeting,Late Payment,Interaction logged
I304998,C00497,2024-10-19,Meeting,Billing Question,Interaction logged
I304999,C06092,2024-06-08,Meeting,PO Approval,Interaction logged
I305000,C08448,2024-10-23,Email,Billing Question,Interaction logged
I305001,C03470,2025-03-24,Call,PO Approval,Interaction logged
I305002,C09808,2024-09-01,Email,Billing Question,Interaction logged
I305003,C08975,2024-04-21,Call,Billing Question,Interaction logged
I305004,C07555,2025-01-14,Call,Late Payment,Interaction logged
I305005,C08404,2024-06-05,Call,Service Issue,Interaction logged
I305006,C08988,2025-01-18,Call,Billing Question,Interaction logged
I305007,C06289,2024-08-07,Call,Service Issue,Interaction logged
I305008,C02684,2024-09-28,Email,Service Issue,Interaction logged
I305009,C02641,2024-05-05,Call,PO Approval,Interaction logged
I305010,C03489,2024-10-24,Email,Billing Question,Interaction logged
I305011,C03781,2024-12-08,Meeting,Billing Question,Interaction logged
I305012,C05772,2024-05-31,Meeting,Service Issue,Interaction logged
I305013,C08211,2024-11-27,Call,PO Approval,Interaction logged
I305014,C06370,2024-12-14,Meeting,Billing Question,Interaction logged
I305015,C08823,2024-08-16,Meeting,Late Payment,Interaction logged
I305016,C01086,2024-01-20,Call,Billing Question,Interaction logged
I305017,C09074,2025-03-12,Email,Billing Question,Interaction logged
I305018,C07198,2024-07-29,Meeting,Billing Question,Interaction logged
I305019,C07001,2024-09-13,Meeting,Service Issue,Interaction logged
I305020,C05600,2024-09-20,Email,PO Approval,Interaction logged
I305021,C02656,2024-06-14,Meeting,Late Payment,Interaction logged
I305022,C06943,2024-03-01,Call,Billing Question,Interaction logged
I305023,C00680,2024-02-12,Meeting,Service Issue,Interaction logged
I305024,C09316,2024-01-20,Meeting,Service Issue,Interaction logged
I305025,C06297,2025-03-09,Meeting,PO Approval,Interaction logged
I305026,C08093,2024-07-04,Meeting,PO Approval,Interaction logged
I305027,C04424,2025-02-05,Call,Late Payment,Interaction logged
I305028,C02385,2024-07-31,Email,Billing Question,Interaction logged
I305029,C09610,2024-01-21,Email,Service Issue,Interaction logged
I305030,C06578,2024-03-13,Call,Late Payment,Interaction logged
I305031,C07367,2024-07-24,Meeting,Service Issue,Interaction logged
I305032,C02174,2024-09-12,Call,PO Approval,Interaction logged
I305033,C02867,2024-04-11,Email,Late Payment,Interaction logged
I305034,C01432,2024-01-30,Call,Late Payment,Interaction logged
I305035,C08475,2024-11-15,Call,Service Issue,Interaction logged
I305036,C03872,2024-08-01,Call,Service Issue,Interaction logged
I305037,C03569,2024-09-07,Call,Late Payment,Interaction logged
I305038,C09883,2024-08-26,Meeting,Service Issue,Interaction logged
